onetsoc_code,task_id,occupation_title,task_text_clean,hdbscan_cluster,hdbscan_cluster_assigned,auto_label_v2,auto_label_definition,auto_label_source,variant,was_hdbscan_noise
11-1011.00,8843,Chief Executives,"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.00,8830,Chief Executives,Review reports submitted by staff members to recommend approval or to suggest changes.,83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.00,8829,Chief Executives,"Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.00,8835,Chief Executives,Establish departmental responsibilities and coordinate functions among departments and sites.,83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.00,8839,Chief Executives,"Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.00,8840,Chief Executives,"Serve as liaisons between organizations, shareholders, and outside organizations.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.00,8837,Chief Executives,"Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.00,8833,Chief Executives,"Preside over, or serve on, boards of directors, management committees, or other governing boards.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.00,8849,Chief Executives,Attend and participate in meetings of municipal councils or council committees.,83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.00,8850,Chief Executives,Organize or approve promotional campaigns.,83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.00,8842,Chief Executives,Nominate citizens to boards or commissions.,83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.00,8851,Chief Executives,"Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.00,8847,Chief Executives,Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.00,8853,Chief Executives,"Prepare bylaws approved by elected officials, and ensure that bylaws are enforced.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.00,8844,Chief Executives,"Make presentations to legislative or other government committees regarding policies, programs, or budgets.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.00,20461,Chief Executives,"Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.00,8838,Chief Executives,"Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.00,8845,Chief Executives,Refer major policy matters to elected representatives for final decisions.,83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.00,8848,Chief Executives,Direct or conduct studies or research on issues affecting areas of responsibility.,83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.00,8846,Chief Executives,"Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.00,8852,Chief Executives,"Represent organizations or promote their objectives at official functions, or delegate representatives to do so.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.03,15382,Chief Sustainability Officers,Monitor and evaluate effectiveness of sustainability programs.,7,7,Manage sustainability initiatives,"Develop, monitor, and report on sustainability efforts while coordinating people and programs to improve environmental performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.03,15384,Chief Sustainability Officers,"Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.",7,7,Manage sustainability initiatives,"Develop, monitor, and report on sustainability efforts while coordinating people and programs to improve environmental performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.03,15379,Chief Sustainability Officers,"Develop, or oversee the development of, sustainability evaluation or monitoring systems.",7,7,Manage sustainability initiatives,"Develop, monitor, and report on sustainability efforts while coordinating people and programs to improve environmental performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.03,15372,Chief Sustainability Officers,Supervise employees or volunteers working on sustainability projects.,7,7,Manage sustainability initiatives,"Develop, monitor, and report on sustainability efforts while coordinating people and programs to improve environmental performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.03,15378,Chief Sustainability Officers,"Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.",7,7,Manage sustainability initiatives,"Develop, monitor, and report on sustainability efforts while coordinating people and programs to improve environmental performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.03,15380,Chief Sustainability Officers,"Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.",7,7,Manage sustainability initiatives,"Develop, monitor, and report on sustainability efforts while coordinating people and programs to improve environmental performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.03,15368,Chief Sustainability Officers,Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.,7,7,Manage sustainability initiatives,"Develop, monitor, and report on sustainability efforts while coordinating people and programs to improve environmental performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.03,15370,Chief Sustainability Officers,"Create and maintain sustainability program documents, such as schedules and budgets.",7,7,Manage sustainability initiatives,"Develop, monitor, and report on sustainability efforts while coordinating people and programs to improve environmental performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.03,15375,Chief Sustainability Officers,Formulate or implement sustainability campaign or marketing strategies.,7,7,Manage sustainability initiatives,"Develop, monitor, and report on sustainability efforts while coordinating people and programs to improve environmental performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.03,15376,Chief Sustainability Officers,"Research environmental sustainability issues, concerns, or stakeholder interests.",7,7,Manage sustainability initiatives,"Develop, monitor, and report on sustainability efforts while coordinating people and programs to improve environmental performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.03,15383,Chief Sustainability Officers,Direct sustainability program operations to ensure compliance with environmental or governmental regulations.,7,7,Manage sustainability initiatives,"Develop, monitor, and report on sustainability efforts while coordinating people and programs to improve environmental performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.03,15377,Chief Sustainability Officers,"Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives.",7,7,Manage sustainability initiatives,"Develop, monitor, and report on sustainability efforts while coordinating people and programs to improve environmental performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.03,15381,Chief Sustainability Officers,Develop methodologies to assess the viability or success of sustainability initiatives.,7,7,Manage sustainability initiatives,"Develop, monitor, and report on sustainability efforts while coordinating people and programs to improve environmental performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.03,15374,Chief Sustainability Officers,"Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws.",7,7,Manage sustainability initiatives,"Develop, monitor, and report on sustainability efforts while coordinating people and programs to improve environmental performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.03,15373,Chief Sustainability Officers,Write and distribute financial or environmental impact reports.,7,7,Manage sustainability initiatives,"Develop, monitor, and report on sustainability efforts while coordinating people and programs to improve environmental performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.03,15371,Chief Sustainability Officers,"Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives.",7,7,Manage sustainability initiatives,"Develop, monitor, and report on sustainability efforts while coordinating people and programs to improve environmental performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.03,15367,Chief Sustainability Officers,"Identify educational, training, or other development opportunities for sustainability employees or volunteers.",7,7,Manage sustainability initiatives,"Develop, monitor, and report on sustainability efforts while coordinating people and programs to improve environmental performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1011.03,15369,Chief Sustainability Officers,Conduct risk assessments related to sustainability and the environment.,7,7,Manage sustainability initiatives,"Develop, monitor, and report on sustainability efforts while coordinating people and programs to improve environmental performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1021.00,20699,General and Operations Managers,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",-1,122,Manage administrative operations,"Oversee departmental processes, resources, and procedures to improve operational efficiency.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,True
11-1021.00,933,General and Operations Managers,"Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.",-1,143,Plan marketing campaigns,"Develop and coordinate advertising, promotional, and sales-support activities to increase demand.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,True
11-1021.00,20700,General and Operations Managers,Direct administrative activities directly related to making products or providing services.,-1,122,Manage administrative operations,"Oversee departmental processes, resources, and procedures to improve operational efficiency.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,True
11-1021.00,20701,General and Operations Managers,Prepare staff work schedules and assign specific duties.,-1,122,Manage administrative operations,"Oversee departmental processes, resources, and procedures to improve operational efficiency.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,True
11-1021.00,20703,General and Operations Managers,"Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency.",-1,122,Manage administrative operations,"Oversee departmental processes, resources, and procedures to improve operational efficiency.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,True
11-1021.00,20706,General and Operations Managers,"Plan or direct activities, such as sales promotions, that require coordination with other department managers.",-1,143,Plan marketing campaigns,"Develop and coordinate advertising, promotional, and sales-support activities to increase demand.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,True
11-1021.00,20705,General and Operations Managers,"Perform personnel functions, such as selection, training, or evaluation.",-1,122,Manage administrative operations,"Oversee departmental processes, resources, and procedures to improve operational efficiency.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,True
11-1021.00,20704,General and Operations Managers,"Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members.",-1,122,Manage administrative operations,"Oversee departmental processes, resources, and procedures to improve operational efficiency.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,True
11-1021.00,20702,General and Operations Managers,Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.,-1,122,Manage administrative operations,"Oversee departmental processes, resources, and procedures to improve operational efficiency.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,True
11-1021.00,20708,General and Operations Managers,"Manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations.",-1,122,Manage administrative operations,"Oversee departmental processes, resources, and procedures to improve operational efficiency.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,True
11-1021.00,20707,General and Operations Managers,"Set prices or credit terms for goods or services, based on forecasts of customer demand.",-1,122,Manage administrative operations,"Oversee departmental processes, resources, and procedures to improve operational efficiency.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,True
11-1021.00,944,General and Operations Managers,"Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory.",-1,122,Manage administrative operations,"Oversee departmental processes, resources, and procedures to improve operational efficiency.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,True
11-1021.00,945,General and Operations Managers,"Develop or implement product-marketing strategies, including advertising campaigns or sales promotions.",-1,143,Plan marketing campaigns,"Develop and coordinate advertising, promotional, and sales-support activities to increase demand.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,True
11-1021.00,947,General and Operations Managers,"Direct non-merchandising departments of businesses, such as advertising or purchasing.",-1,122,Manage administrative operations,"Oversee departmental processes, resources, and procedures to improve operational efficiency.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,True
11-1021.00,19501,General and Operations Managers,"Implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management.",-1,143,Plan marketing campaigns,"Develop and coordinate advertising, promotional, and sales-support activities to increase demand.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,True
11-1021.00,949,General and Operations Managers,Plan store layouts or design displays.,-1,143,Plan marketing campaigns,"Develop and coordinate advertising, promotional, and sales-support activities to increase demand.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,True
11-1021.00,948,General and Operations Managers,"Recommend locations for new facilities, or oversee the remodeling or renovating of current facilities.",-1,122,Manage administrative operations,"Oversee departmental processes, resources, and procedures to improve operational efficiency.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,True
11-1031.00,15267,Legislators,Analyze and understand the local and national implications of proposed legislation.,83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1031.00,15268,Legislators,"Appoint nominees to leadership posts, or approve such appointments.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1031.00,15269,Legislators,Confer with colleagues to formulate positions and strategies pertaining to pending issues.,83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1031.00,15270,Legislators,"Debate the merits of proposals and bill amendments during floor sessions, following the appropriate rules of procedure.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1031.00,15271,Legislators,Develop expertise in subject matters related to committee assignments.,83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1031.00,15272,Legislators,"Hear testimony from constituents, representatives of interest groups, board and commission members, and others with an interest in bills or issues under consideration.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1031.00,15273,Legislators,"Keep abreast of the issues affecting constituents by making personal visits and phone calls, reading local newspapers, and viewing or listening to local broadcasts.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1031.00,15274,Legislators,Maintain knowledge of relevant national and international current events.,83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1031.00,15275,Legislators,"Make decisions that balance the perspectives of private citizens, public officials, and party leaders.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1031.00,15276,Legislators,"Negotiate with colleagues or members of other political parties in order to reconcile differing interests, and to create policies and agreements.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1031.00,15277,Legislators,"Prepare drafts of amendments, government policies, laws, rules, regulations, budgets, programs and procedures.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1031.00,15278,Legislators,Read and review concerns of constituents or the general public and determine if governmental action is necessary.,83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1031.00,15279,Legislators,"Represent their parties in negotiations with political executives or members of other parties, and when speaking with the media.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1031.00,15280,Legislators,"Review bills in committee, and make recommendations about their future.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1031.00,15281,Legislators,Seek federal funding for local projects and programs.,83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1031.00,15282,Legislators,"Serve on commissions, investigative panels, study groups, and committees in order to examine specialized areas and recommend action.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1031.00,15283,Legislators,"Vote on motions, amendments, and decisions on whether or not to report a bill out from committee to the assembly floor.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1031.00,15284,Legislators,"Write, prepare, and deliver statements for the Congressional Record.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1031.00,15285,Legislators,"Alert constituents of government actions and programs by way of newsletters, personal appearances at town meetings, phone calls, and individual meetings.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1031.00,15286,Legislators,"Attend receptions, dinners, and conferences to meet people, exchange views and information, and develop working relationships.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1031.00,15287,Legislators,"Conduct ""head counts"" to help predict the outcome of upcoming votes.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1031.00,15288,Legislators,"Determine campaign strategies for media advertising, positions on issues, and public appearances.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1031.00,15289,Legislators,Encourage and support party candidates for political office.,83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1031.00,15290,Legislators,"Establish personal offices in local districts or states, and manage office staff.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1031.00,15291,Legislators,"Evaluate the structure, efficiency, activities, and performance of government agencies.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1031.00,15292,Legislators,"Organize and maintain campaign organizations and fundraisers, in order to raise money for election or re-election.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1031.00,15293,Legislators,"Oversee expense allowances, ensuring that accounts are balanced at the end of each fiscal year.",101,101,Manage financial operations,"Oversee budgets, cash flow, staffing, and customer relationships to support financial activities.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1031.00,15294,Legislators,Promote the industries and products of their electoral districts.,83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1031.00,15295,Legislators,"Represent their government at local, national, and international meetings and conferences.",83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-1031.00,15296,Legislators,Speak to students to encourage and support the development of future political leaders.,83,83,Direct organizational strategy,"Set policies, budgets, and priorities to guide organizational operations and performance.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-2011.00,3224,Advertising and Promotions Managers,"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.",143,143,Plan marketing campaigns,"Develop and coordinate advertising, promotional, and sales-support activities to increase demand.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-2011.00,3226,Advertising and Promotions Managers,"Inspect layouts and advertising copy, and edit scripts, audio, video, and other promotional material for adherence to specifications.",143,143,Plan marketing campaigns,"Develop and coordinate advertising, promotional, and sales-support activities to increase demand.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-2011.00,3231,Advertising and Promotions Managers,"Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.",143,143,Plan marketing campaigns,"Develop and coordinate advertising, promotional, and sales-support activities to increase demand.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-2011.00,3242,Advertising and Promotions Managers,Coordinate with the media to disseminate advertising.,143,143,Plan marketing campaigns,"Develop and coordinate advertising, promotional, and sales-support activities to increase demand.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-2011.00,3227,Advertising and Promotions Managers,"Coordinate activities of departments, such as sales, graphic arts, media, finance, and research.",143,143,Plan marketing campaigns,"Develop and coordinate advertising, promotional, and sales-support activities to increase demand.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-2011.00,3238,Advertising and Promotions Managers,Plan and execute advertising policies and strategies for organizations.,143,143,Plan marketing campaigns,"Develop and coordinate advertising, promotional, and sales-support activities to increase demand.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-2011.00,3237,Advertising and Promotions Managers,"Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.",143,143,Plan marketing campaigns,"Develop and coordinate advertising, promotional, and sales-support activities to increase demand.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-2011.00,3223,Advertising and Promotions Managers,Prepare budgets and submit estimates for program costs as part of campaign plan development.,143,143,Plan marketing campaigns,"Develop and coordinate advertising, promotional, and sales-support activities to increase demand.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-2011.00,3243,Advertising and Promotions Managers,Contact organizations to explain services and facilities offered.,143,143,Plan marketing campaigns,"Develop and coordinate advertising, promotional, and sales-support activities to increase demand.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
11-2011.00,3233,Advertising and Promotions Managers,Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,143,143,Plan marketing campaigns,"Develop and coordinate advertising, promotional, and sales-support activities to increase demand.",cluster_onet_tasks.py:hdbscan_cluster_assigned,title_plus_task,False
