label_id,label_name,description,inclusion_examples,exclusion_examples,sibling_labels,cluster_or_method,frozen,example_onetsoc_tasks,notes
design_or_develop_technical_systems_products_or_models,"Design or Develop Technical Systems, Products, or Models","Create detailed plans, prototypes, or models for technical applications, products, or systems to meet specified requirements.",Design or engineer nanomaterials or nanosystems | Create web site specifications including software and hardware details | Design water distribution systems,Operate or maintain existing systems | Supervise design teams,"develop_plan_or_design_technical_systems_products_or_projects,design_or_draft_technical_drawings_and_specifications",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
provide_technical_support_or_assistance,Provide Technical Support or Assistance,"Offer expert advice, troubleshooting, or guidance to users or clients regarding technical systems or products.",Provide application or analytical support to researchers | Provide technical guidance on nanosystem start-up and maintenance | Provide technical expertise in Geographic Information Systems technology,Develop technical systems without user support | Supervise support staff,"consult_and_advise_stakeholders_on_specialized_topics,train_instruct_or_mentor_individuals_or_groups",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
develop_or_implement_policies_procedures_or_programs,"Develop or Implement Policies, Procedures, or Programs","Create, update, or enforce organizational rules, guidelines, or initiatives to govern operations or activities.",Develop and implement organizational policies for medical facilities | Develop or maintain medical monitoring programs for employees | Develop strategies to encourage new or increased contributions,Perform tasks under existing policies | Supervise policy enforcement,"develop_plans_policies_or_procedures,develop_and_implement_compliance_and_regulatory_strategies",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
conduct_research_and_publish_or_communicate_findings,Conduct Research and Publish or Communicate Findings,"Perform systematic investigation to generate new knowledge and disseminate results through reports, articles, or presentations.",Conduct research to develop and test surgical techniques | Publish findings in professional journals | Prepare and deliver presentations on environmental and economic study results,Implement existing research findings | Supervise research teams,"plan_and_conduct_research_studies_or_scientific_investigations,prepare_technical_or_research_reports_and_documentation",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
manage_budgets_resources_or_operational_plans,"Manage Budgets, Resources, or Operational Plans","Plan, allocate, monitor, or control financial, material, or human resources to support organizational goals.",Develop or review budgets and annual plans for hydroelectric production | Track program budgets and campaign response rates | Calculate or monitor budgets for maintenance or development of collections,Perform operational tasks without resource management | Supervise budget staff,"prepare_or_administer_budgets_financial_plans_or_cost_analyses,prepare_and_manage_budgets_financial_plans_or_cost_estimates",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
maintain_or_update_technical_or_informational_databases,Maintain or Update Technical or Informational Databases,"Organize, input, or revise data within specialized systems to ensure accuracy and accessibility.",Maintain or arrange for maintenance of fitness equipment or facilities | Create or maintain databases of known test defects | Create or maintain database of customer accounts,Analyze data without database maintenance | Supervise database users,"document_and_maintain_records_or_databases,collect_record_or_maintain_data_and_records",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
perform_clerical_or_administrative_support_tasks,Perform Clerical or Administrative Support Tasks,"Carry out routine office duties such as scheduling, record keeping, ordering supplies, or answering inquiries.",Perform general administrative tasks like answering telephones and scheduling appointments | Provide information to employees on payroll matters | Compile and prepare reports and documents pertaining to personnel activities,Manage or supervise administrative staff | Develop administrative policies,"coordinate_or_direct_organizational_or_administrative_activities,prepare_or_produce_reports_and_documentation",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
conduct_client_or_customer_interactions_to_provide_information_or_services,Conduct Client or Customer Interactions to Provide Information or Services,"Engage directly with clients or customers to explain, advise, or assist regarding products, services, or processes.",Answer customers' questions about products and credit terms | Explain and enforce safety rules and regulations | Refer qualified counselees to employers or employment services,Develop products or services without client interaction | Supervise customer service staff,"conduct_client_or_customer_interactions_to_assess_needs_and_provide_solutions,communicate_information_or_provide_guidance_to_clients_customers_or_public",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
compile_and_record_operational_or_transactional_data,Compile and Record Operational or Transactional Data,"Collect, organize, and enter data related to operations, transactions, or activities into forms, logs, or computer systems for record-keeping or reporting purposes.","Compile and record operational data on forms or in log books | Prepare reports on biomass plant operations, status, maintenance, and other information | Maintain records and compile statistical reports concerning personnel-related data",Analyze data to determine financial status | Develop or revise technical specifications,"collect_record_or_maintain_data_and_records,document_and_maintain_records_or_databases",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
plan_organize_and_coordinate_activities_or_programs,"Plan, Organize, and Coordinate Activities or Programs","Develop schedules, coordinate resources, and manage the execution of events, programs, or operational activities to meet objectives.",Develop and arrange competition schedules and programs | Plan and conduct teacher training programs and conferences | Coordinate or participate in promotional activities or trade shows,Supervise employees during activities | Evaluate effectiveness of programs,"plan_and_coordinate_program_or_operational_activities,coordinate_and_manage_projects_or_operations",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
train_instruct_or_mentor_individuals_or_groups,"Train, Instruct, or Mentor Individuals or Groups","Provide education, guidance, or coaching to others to develop skills, knowledge, or competencies in specific areas.",Train newly hired laboratory personnel | Mentor or train staff to lead group exercise | Conduct training sessions on fire protection,Supervise employees | Develop training materials,"plan_organize_and_conduct_training_or_instructional_activities,demonstrate_or_teach_the_use_of_equipment_or_techniques",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
consult_or_collaborate_with_stakeholders_to_determine_requirements_or_solutions,Consult or Collaborate with Stakeholders to Determine Requirements or Solutions,"Engage with clients, colleagues, or other parties to gather information, discuss needs, or develop plans and solutions.",Consult with store managers to determine placement of displays | Collaborate with sales teams to understand customer requirements | Confer with professionals on client's treatment team to develop plans,Implement solutions or plans | Supervise staff,"collaborate_or_confer_with_stakeholders_to_coordinate_activities,consult_and_advise_stakeholders_on_specialized_topics",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
design_or_create_visual_or_physical_representations,Design or Create Visual or Physical Representations,"Develop drawings, models, layouts, or artistic works to represent concepts, products, or environments.","Design and build scale models of set designs | Draw and print charts, graphs, illustrations | Prepare scale drawings or architectural designs using CAD",Supervise design staff | Review or approve designs,"create_or_develop_visual_or_physical_designs,design_and_develop_visual_or_physical_displays_and_layouts",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
install_assemble_or_set_up_equipment_displays_or_systems,"Install, Assemble, or Set Up Equipment, Displays, or Systems","Put together, position, or configure physical components, equipment, or displays according to specifications or plans.",Install decorations such as flags or lights | Assemble eyeglasses by cutting and edging lenses | Install electrical equipment such as air-conditioning or ignition systems,Repair or maintain equipment | Design installation plans,"arrange_or_set_up_physical_displays_or_environments,maintain_repair_or_adjust_equipment_machinery_or_systems",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
demonstrate_or_teach_the_use_of_equipment_or_techniques,Demonstrate or Teach the Use of Equipment or Techniques,"Show correct procedures or methods for using equipment, tools, or performing tasks to individuals or groups.","Demonstrate correct use of exercise equipment | Teach and demonstrate use of gymnastic and training equipment | Train customers to install, use, or maintain robots",Supervise use of equipment | Develop training materials,"train_instruct_or_mentor_individuals_or_groups,plan_organize_and_conduct_training_or_instructional_activities",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
track_monitor_or_evaluate_participation_performance_or_program_effectiveness,"Track, Monitor, or Evaluate Participation, Performance, or Program Effectiveness","Collect and analyze data related to attendance, performance metrics, or outcomes to assess progress or success.","Track attendance, participation, or performance data related to wellness events | Evaluate fitness and wellness programs to determine their effectiveness | Monitor market conditions, product innovations, and competitors' products",Compile raw data | Develop new programs or products,"evaluate_individuals_abilities_needs_or_progress,analyze_data_to_evaluate_or_improve_processes",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
assess_diagnose_or_evaluate_conditions_or_needs,"Assess, Diagnose, or Evaluate Conditions or Needs","Examine individuals, systems, or situations to identify problems, needs, or conditions requiring intervention or treatment.","Order, perform, and interpret tests to diagnose patients' condition | Assess client needs or disorders using artistic processes | Evaluate physical performance requirements for rehabilitation",Provide treatment or therapy | Collect data without interpretation,"perform_diagnostic_assessments_and_interpret_results,evaluate_individuals_abilities_needs_or_progress",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
provide_treatment_therapy_or_specialized_care,"Provide Treatment, Therapy, or Specialized Care","Administer medical, therapeutic, or specialized interventions to individuals to treat or prevent illness, injury, or disorders.","Prescribe or administer therapy, medication, and other specialized medical care | Integrate behavioral or medical approaches into music therapy treatments | Assist anesthesiologists in performing anesthetic procedures",Diagnose conditions | Develop treatment plans,"develop_or_implement_treatment_or_rehabilitation_plans,perform_physical_or_manual_therapeutic_treatments",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
refer_clients_or_patients_to_specialists_or_other_services,Refer Clients or Patients to Specialists or Other Services,Direct individuals to appropriate professionals or services when their needs exceed the scope of current practitioner or program.,Refer patients for more specialized treatments | Refer students to degree programs based on interests | Refer applicants to job openings or interviews,Evaluate or diagnose conditions | Provide direct treatment or instruction,"provide_counseling_advice_or_support,provide_counseling_guidance_or_support_services",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
gather_collect_or_obtain_information_or_evidence,"Gather, Collect, or Obtain Information or Evidence","Acquire data, evidence, or information from various sources through observation, interviews, sampling, or other methods.","Collect evidence from crime scenes, storing it to preserve integrity | Gather client information from case documentation or interviews | Collect geospatial data using aerial photography or sensors",Analyze or interpret collected data | Prepare reports based on data,"conduct_investigations_and_gather_evidence,investigate_examine_or_inspect_to_gather_evidence_or_assess_conditions",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
maintain_repair_or_adjust_equipment_machinery_or_systems,"Maintain, Repair, or Adjust Equipment, Machinery, or Systems","Perform upkeep, troubleshooting, repairs, or adjustments to ensure proper functioning and safety of physical or technical equipment.","Maintain or repair hydroelectric plant electrical equipment | Repair or adjust equipment, replacing worn parts | Calibrate nanotechnology equipment",Install new equipment | Design or engineer equipment,"monitor_and_maintain_equipment_or_systems,operate_maintain_and_repair_technical_equipment_or_machinery",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
operate_equipment_or_machinery,Operate Equipment or Machinery,"Control or use machines, tools, or technical systems to perform tasks or processes.",Operate desktop publishing software and equipment | Start engines to propel ships and regulate speeds | Operate nanotechnology processing or production equipment,Maintain or repair equipment | Train others to operate equipment,"adjust_or_operate_equipment_controls,operate_maintain_and_repair_technical_equipment_or_machinery",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
develop_plan_or_design_technical_systems_products_or_projects,"Develop, Plan, or Design Technical Systems, Products, or Projects","Create detailed plans, specifications, or designs for systems, products, or projects based on requirements, standards, or research.",Develop set designs based on scripts and budgets | Design or engineer nanomaterials or nanosystems | Design transportation surveys to identify public concerns,Supervise design staff | Construct or build physical models,"design_or_develop_technical_systems_products_or_models,plan_experimental_or_operational_procedures",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
evaluate_compliance_with_regulations_standards_or_policies,"Evaluate Compliance with Regulations, Standards, or Policies","Review, inspect, or assess activities, documents, or systems to ensure adherence to applicable laws, codes, or organizational policies.",Inspect or review projects to monitor compliance with building codes | Review applications for mergers to determine conformance to regulations | Ensure company compliance with federal and state laws,Develop regulations or policies | Enforce disciplinary actions,"review_and_ensure_compliance_with_standards_or_regulations,develop_and_implement_compliance_and_regulatory_strategies",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
investigate_mediate_or_resolve_disputes_or_complaints,"Investigate, Mediate, or Resolve Disputes or Complaints","Conduct inquiries, facilitate communication, or make decisions to address conflicts, complaints, or legal matters.",Investigate and evaluate union complaints | Use mediation techniques to facilitate communication between disputants | Analyze information gathered by investigation and report findings,Supervise employees | Develop policies or regulations,"investigate_examine_or_inspect_to_gather_evidence_or_assess_conditions,conduct_investigations_and_gather_evidence",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
prepare_or_administer_budgets_financial_plans_or_cost_analyses,"Prepare or Administer Budgets, Financial Plans, or Cost Analyses","Develop, manage, or evaluate financial resources, budgets, or cost models to support operations or projects.",Prepare wind field operational budgets | Conduct cost-benefit analyses for water supply systems | Develop and manage annual budgets for information technology projects,Analyze financial data for investment decisions | Perform accounting or bookkeeping tasks,"manage_budgets_resources_or_operational_plans,prepare_and_manage_budgets_financial_plans_or_cost_estimates",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
communicate_information_or_provide_guidance_to_clients_customers_or_public,"Communicate Information or Provide Guidance to Clients, Customers, or the Public","Deliver explanations, advice, or information about products, services, policies, or procedures to individuals or groups.","Explain to customers the different types of loans and credit options | Provide clients or family members with information about addiction issues | Respond to customer, public, or media requests for information about wellness programs",Develop marketing or promotional materials | Conduct formal training sessions,"conduct_client_or_customer_interactions_to_provide_information_or_services,consult_and_advise_stakeholders_on_specialized_topics",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
prepare_or_process_legal_regulatory_or_official_documents,"Prepare or Process Legal, Regulatory, or Official Documents","Create, review, or complete documents required for legal, regulatory, or administrative purposes.","Obtain information needed to complete legal documents such as death certificates | Prepare responses to customer requests for regulatory information | Prepare and type loan applications, closing documents, and legal forms",Advise on legal or regulatory matters | Investigate or mediate disputes,"process_or_verify_applications_claims_or_transactions,prepare_or_produce_reports_and_documentation",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
coordinate_or_direct_organizational_or_administrative_activities,Coordinate or Direct Organizational or Administrative Activities,"Plan, organize, and oversee administrative functions, resource allocation, or organizational goals within a department or institution.",Meet with departmental leaders to establish organizational goals | Direct and coordinate school maintenance services and facility use | Organize and direct committees to provide technical and advisory assistance,Supervise individual employees | Develop policies or procedures,"manage_budgets_resources_or_operational_plans,coordinate_and_manage_projects_or_operations",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
collect_prepare_or_manage_specialized_data_or_records,"Collect, Prepare, or Manage Specialized Data or Records","Gather, organize, and maintain specialized data sets or records for analysis, reporting, or operational use.",Compile medical care and census data for statistical reports | Maintain accurate record or batch-record documentation of nanoproduction | Keep records of assigned cases and prepare required reports,Analyze data to draw conclusions | Develop data collection methods,"collect_record_or_maintain_data_and_records,document_and_maintain_records_or_databases",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
review_and_verify_operational_records_or_reports,Review and Verify Operational Records or Reports,"Examine logs, datasheets, reports, or documentation to ensure accuracy, compliance, or to identify abnormalities in processes or equipment.",Review logs to ensure adequate production levels | Check reports for compliance with regulations | Analyze datasheets to identify equipment abnormalities,Operate equipment to maintain production | Draft new reports or documents,"review_and_ensure_compliance_with_standards_or_regulations,prepare_or_produce_reports_and_documentation",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
collect_and_prepare_samples_for_testing_or_analysis,Collect and Prepare Samples for Testing or Analysis,"Obtain physical or data samples from products, processes, or environments to be used in quality control, research, or diagnostic testing.",Draw samples of biofuels products for quality control | Obtain fuel and oil samples for contamination checks | Collect blood samples for laboratory analysis,Analyze test results from samples | Operate testing equipment,"sample_or_test_products_or_materials_for_quality_control,test_measure_or_calibrate_equipment_or_materials",text-embedding-3-small; HDBSCAN(min_cluster=40); LLM proposal + merge pass (model=gpt-4.1-mini),False,,
