label_id,label_name,description,cluster_or_method,frozen,example_onetsoc_tasks,minimum_task_contract,sibling_labels,exclusion_examples,agent_doability,agent_doability_rationale,evaluation_artifact,evaluation_method,n_sub_ops,n_tasks_in_corpus,sub_operation_cluster_ids,source_bucket_coherence_note,notes
create_and_update_visual_and_technical_drawings,Create and Update Visual and Technical Drawings,"Create, revise, or interpret structured visual artifacts that communicate spatial arrangement, dimensions, composition, or design intent. The worker turns source information into a map, layout, or technical drawing that can be checked for correctness, completeness, and adherence to conventions.","text-embedding-3-small on gpt-5.4-mini-normalized operation phrases (domain-stripped) -> UMAP(n_components=15, n_neighbors=30, min_dist=0.0, metric=cosine) -> HDBSCAN(min_cluster_size=30, min_samples=10, eom, prediction_data=True) + soft-assign noise -> 68 hard clusters -> gpt-5.4-mini per-cluster theme + agent-doability/eval rubric -> agglomerative merge on theme embeddings at cosine-distance threshold 0.55 -> 23 emergent top-level operations -> manual split of research bucket -> 24-label frozen taxonomy.",True,"Draft plans and detailed drawings for structures, installations, and construction projects, such as highways, sewage disposal systems, and dikes, working from sketches or notes. | Create designs, concepts, and sample layouts, based on knowledge of layout principles and esthetic design concepts. | Prepare topographic or contour maps of land surveyed, including site features and other relevant information, such as charts, drawings, and survey notes.","The item must provide source information and require production, revision, or interpretation of a map, layout, or technical drawing whose correctness can be judged against explicit spatial, dimensional, or representational constraints.",,,high,"These are primarily digital, text-and-image-based artifacts that an AI agent can generate and revise with standard tools, with evaluation possible against source specs or rubric criteria.","map, layout, or technical drawing file",rubric_on_artifact,3,208,"67,66,42","The weakest-fit member is 'Plan visual layouts and designs,' which is broader than maps or technical drawings, but the bucket still coheres as one operation centered on creating and updating structured visual/spatial representations.",
develop_and_execute_outreach_campaigns_for_external_support,Develop and Execute Outreach Campaigns for External Support,"Create, plan, and carry out outward-facing campaigns intended to secure external support, such as funding, donations, sponsorships, or other contributions. The work centers on crafting persuasive outreach materials and coordinating their delivery to targeted audiences to obtain a measurable response.","text-embedding-3-small on gpt-5.4-mini-normalized operation phrases (domain-stripped) -> UMAP(n_components=15, n_neighbors=30, min_dist=0.0, metric=cosine) -> HDBSCAN(min_cluster_size=30, min_samples=10, eom, prediction_data=True) + soft-assign noise -> 68 hard clusters -> gpt-5.4-mini per-cluster theme + agent-doability/eval rubric -> agglomerative merge on theme embeddings at cosine-distance threshold 0.55 -> 23 emergent top-level operations -> manual split of research bucket -> 24-label frozen taxonomy.",True,"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies. | Write grant applications to obtain funding. | Develop or implement fundraising activities, such as annual giving campaigns or direct mail programs.","Must describe a concrete outward-facing campaign or outreach effort whose explicit goal is to obtain external support such as grants, donations, sponsorships, or similar contributions, with enough detail to evaluate the campaign materials or plan against that goal.",,,high,This is largely a text-and-planning operation that an AI agent can execute with standard tools; the main bottleneck is strategic judgment about audience and messaging rather than physical action or licensure.,campaign plan and outreach materials,rubric_on_artifact,3,186,"17,5,20","The weakest-fit member is write grant proposals, but it still fits the broader operation of developing persuasive external-support outreach; this bucket is a single operation rather than a merger that should be split.",
estimate_costs_and_manage_budgets,Estimate Costs and Manage Budgets,"Estimate the costs, resource needs, and feasibility of a planned activity, and use those estimates to create, monitor, adjust, or report on budgets for the relevant unit or project. The work centers on financial planning and control for a defined scope, often to support decisions about alternatives, allocations, or expenditures.","text-embedding-3-small on gpt-5.4-mini-normalized operation phrases (domain-stripped) -> UMAP(n_components=15, n_neighbors=30, min_dist=0.0, metric=cosine) -> HDBSCAN(min_cluster_size=30, min_samples=10, eom, prediction_data=True) + soft-assign noise -> 68 hard clusters -> gpt-5.4-mini per-cluster theme + agent-doability/eval rubric -> agglomerative merge on theme embeddings at cosine-distance threshold 0.55 -> 23 emergent top-level operations -> manual split of research bucket -> 24-label frozen taxonomy.",True,"Analyze blueprints and other documentation to prepare time, cost, materials, and labor estimates. | Plan, administer, and control budgets for contracts, equipment, and supplies.","The benchmark item must expose a defined project, program, or operational scope with enough cost, resource, or expenditure information to require both estimating/comparing costs and producing or managing a budget tied to that same scope.",,,high,"This is largely a text-and-data analysis task that an AI agent can perform with spreadsheets, documents, and calculation tools; the main limitation is domain-specific judgment rather than physical work.",cost estimate and budget document,rubric_on_artifact,2,176,"57,56","The bucket is coherent as one operation because both members are financial planning/control variants over the same underlying cost-and-resource analysis workflow; the weakest fit is cluster 57, which leans toward feasibility estimation but still belongs with budget work.",
assess_and_restore_environmental_conditions,Assess and Restore Environmental Conditions,"Evaluate the environmental effects of a site, project, or activity and develop or implement plans to restore, remediate, conserve, or mitigate resulting impacts. The work centers on diagnosing environmental conditions and translating that assessment into a concrete restoration or management plan.","text-embedding-3-small on gpt-5.4-mini-normalized operation phrases (domain-stripped) -> UMAP(n_components=15, n_neighbors=30, min_dist=0.0, metric=cosine) -> HDBSCAN(min_cluster_size=30, min_samples=10, eom, prediction_data=True) + soft-assign noise -> 68 hard clusters -> gpt-5.4-mini per-cluster theme + agent-doability/eval rubric -> agglomerative merge on theme embeddings at cosine-distance threshold 0.55 -> 23 emergent top-level operations -> manual split of research bucket -> 24-label frozen taxonomy.",True,"Evaluate proposals for infrastructure projects or other development for environmental impact or sustainability. | Plan environmental restoration projects, using biological databases, environmental strategies, and planning software.","The item must present a specific site, project, activity, or environmental condition and require both impact assessment and a concrete restoration, remediation, conservation, or mitigation plan tied to that same case.",,,medium,"An agent can analyze environmental data and draft restoration plans, but real-world execution and validation often depend on field measurements, site-specific constraints, and stakeholder or regulatory input.",environmental assessment and restoration plan,rubric_on_artifact,2,132,"63,64","The two members are tightly linked as sequential parts of one environmental management operation; the weakest fit is 'Assess environmental impacts,' but it still belongs because the assessment feeds the restoration plan rather than forming a separate operation.",
select_and_place_people_into_roles,Select and Place People Into Roles,"Evaluate people or candidates and choose, recommend, or assign them to specific roles, positions, or parts based on fit. The operation may include recruiting, interviewing, auditioning, screening, or making hiring/casting recommendations, but its shared core is selecting individuals for placement into roles.","text-embedding-3-small on gpt-5.4-mini-normalized operation phrases (domain-stripped) -> UMAP(n_components=15, n_neighbors=30, min_dist=0.0, metric=cosine) -> HDBSCAN(min_cluster_size=30, min_samples=10, eom, prediction_data=True) + soft-assign noise -> 68 hard clusters -> gpt-5.4-mini per-cluster theme + agent-doability/eval rubric -> agglomerative merge on theme embeddings at cosine-distance threshold 0.55 -> 23 emergent top-level operations -> manual split of research bucket -> 24-label frozen taxonomy.",True,"Identify staff vacancies and recruit, interview, and select applicants. | Audition and interview performers to match their attributes to specific roles or to increase the pool of available acting talent.","The item must expose candidate-specific evidence and a target role or role criteria, and require the worker to make or justify a selection, recommendation, or placement decision about people rather than merely describe staffing needs or manage administrative records.",,,high,"This is largely a text-and-decision workflow over candidate information and role requirements, which an AI agent can execute with standard tools; the main limitation is that final human judgment may still be needed in real-world hiring or casting.",selection recommendation or placement decision record,rubric_on_artifact,2,128,"22,40","The bucket is coherent as one operation centered on evaluating people for placement into roles; the weakest-fit member is the broader recruit-and-hire theme, but it still shares the same selection core and does not require a split.",
conduct_scientific_research,Conduct Scientific Research,"Plan, conduct, direct, or analyze a research study intended to produce new scientific, medical, environmental, social, technical, or economic findings. The shared operation is executing the research itself (design, data collection, analysis) rather than merely reporting prior findings, routine assistance, or fundraising.","text-embedding-3-small on gpt-5.4-mini-normalized operation phrases (domain-stripped) -> UMAP(n_components=15, n_neighbors=30, min_dist=0.0, metric=cosine) -> HDBSCAN(min_cluster_size=30, min_samples=10, eom, prediction_data=True) + soft-assign noise -> 68 hard clusters -> gpt-5.4-mini per-cluster theme + agent-doability/eval rubric -> agglomerative merge on theme embeddings at cosine-distance threshold 0.55 -> 23 emergent top-level operations -> manual split of research bucket -> 24-label frozen taxonomy.",True,"Plan and direct studies to investigate human or animal disease, preventive methods, and treatments for disease.","The item must present a task whose core operation is planning, conducting, directing, or analyzing a research study that generates new findings, with enough context to distinguish it from information lookup or from writing up already-completed research.","prepare_reports_and_presentations,analyze_and_interpret_data_for_decisions,inspect_evaluate_and_verify_compliance_and_performance",Prepare and present a report summarizing research already completed by others (that is prepare_reports_and_presentations). | Analyze existing operational data to support a decision (that is analyze_and_interpret_data_for_decisions).,high,"Study design, protocol drafting, and results analysis are largely text-and-data operations an agent can perform with standard tools; the binding constraint is that real experimental execution and credentialed field collection often require physical work or regulatory authorization outside the agent's reach.","study protocol, analysis plan, or analysis report",expert_review,1,114,53,"The weakest-fit member is 'Conduct scientific research,' which is a different upstream operation than reporting findings, so the bucket is a near-merger of research execution and research communication rather than a single pure operation. | Split out of the emergent bucket 'Produce and Communicate Research Reports' at promotion time: research execution and research communication are different top-level operations that must be separated for benchmark-coverage analysis.",
negotiate_contracts_and_terms,Negotiate Contracts and Terms,"Bargain over, draft, administer, and resolve the terms of agreements with external parties. The work centers on reaching and maintaining mutually acceptable contract terms rather than simply transacting under fixed terms.","text-embedding-3-small on gpt-5.4-mini-normalized operation phrases (domain-stripped) -> UMAP(n_components=15, n_neighbors=30, min_dist=0.0, metric=cosine) -> HDBSCAN(min_cluster_size=30, min_samples=10, eom, prediction_data=True) + soft-assign noise -> 68 hard clusters -> gpt-5.4-mini per-cluster theme + agent-doability/eval rubric -> agglomerative merge on theme embeddings at cosine-distance threshold 0.55 -> 23 emergent top-level operations -> manual split of research bucket -> 24-label frozen taxonomy.",True,"Negotiate, renegotiate, and administer contracts with suppliers, vendors, and other representatives.","The item must require a worker to actively negotiate, draft, administer, or settle the terms of an agreement with another party, with a concrete contract or term set as the output or object of work.",,,high,"This is largely text- and decision-based work that an AI agent can draft, compare, and revise using documents and communication tools, though final agreement still depends on human counterparties.",contract draft or negotiation memo,expert_review,1,99,49,All member themes describe the same core operation of negotiating and managing contract terms; there is no meaningful split needed.,
assess_and_grade_work,Assess and Grade Work,"Evaluate submitted work or responses against established criteria, then assign scores, grades, or feedback based on that evaluation. The operation includes both formal assessments and student work when the core action is judging quality or correctness and recording the result.","text-embedding-3-small on gpt-5.4-mini-normalized operation phrases (domain-stripped) -> UMAP(n_components=15, n_neighbors=30, min_dist=0.0, metric=cosine) -> HDBSCAN(min_cluster_size=30, min_samples=10, eom, prediction_data=True) + soft-assign noise -> 68 hard clusters -> gpt-5.4-mini per-cluster theme + agent-doability/eval rubric -> agglomerative merge on theme embeddings at cosine-distance threshold 0.55 -> 23 emergent top-level operations -> manual split of research bucket -> 24-label frozen taxonomy.",True,"Evaluate and grade students' class work, assignments, and papers. | Compile, administer, and grade examinations, or assign this work to others.","The item must expose a concrete submission or response set plus explicit or inferable criteria so the worker can produce a defensible score, grade, or evaluative feedback rather than only general commentary.",,,high,"This is largely a text-and-rubric task that an AI agent can perform end-to-end, with the main limitation being the need for clear scoring criteria and sometimes subjective judgment.",graded assessment or work-evaluation record,rubric_on_artifact,2,82,"3,1","The bucket is coherent: both members are instances of the same core operation, namely evaluating submitted responses or work and recording a grade or score; the assessment-vs-student-work distinction is a domain variation rather than a separate operation.",
present_evidence_in_hearings,Present Evidence in Hearings,"Present, explain, or testify about evidence, findings, or expert opinions in a formal legal, administrative, or quasi-judicial proceeding. The work centers on communicating evidentiary material to a decision-maker or record, not on investigating the underlying matter or managing the proceeding itself.","text-embedding-3-small on gpt-5.4-mini-normalized operation phrases (domain-stripped) -> UMAP(n_components=15, n_neighbors=30, min_dist=0.0, metric=cosine) -> HDBSCAN(min_cluster_size=30, min_samples=10, eom, prediction_data=True) + soft-assign noise -> 68 hard clusters -> gpt-5.4-mini per-cluster theme + agent-doability/eval rubric -> agglomerative merge on theme embeddings at cosine-distance threshold 0.55 -> 23 emergent top-level operations -> manual split of research bucket -> 24-label frozen taxonomy.",True,Rule on admissibility of evidence and methods of conducting testimony.,"Must require a worker to present or testify about evidence, findings, or expert conclusions in a formal legal or administrative proceeding, not merely investigate, research, or manage the proceeding.",,,medium,"An agent can draft and organize testimony or hearing presentations, but real execution depends on live proceedings, procedural rules, and human/legal authority.",hearing testimony or presentation record,expert_review,1,75,16,This bucket is coherent and represents one operation; there is no clear weaker-fit member beyond the same hearing-testimony theme.,
select_materials_by_properties,Select Materials by Properties,"Choose raw materials, components, or substances for a process or design based on relevant physical, chemical, functional, cost, safety, or environmental properties. The operation centers on comparing candidate materials against explicit criteria and selecting the best fit.","text-embedding-3-small on gpt-5.4-mini-normalized operation phrases (domain-stripped) -> UMAP(n_components=15, n_neighbors=30, min_dist=0.0, metric=cosine) -> HDBSCAN(min_cluster_size=30, min_samples=10, eom, prediction_data=True) + soft-assign noise -> 68 hard clusters -> gpt-5.4-mini per-cluster theme + agent-doability/eval rubric -> agglomerative merge on theme embeddings at cosine-distance threshold 0.55 -> 23 emergent top-level operations -> manual split of research bucket -> 24-label frozen taxonomy.",True,"Select materials for use based on strength, color, texture, balance, weight, size, malleability and other characteristics.",The item must expose a concrete choice among at least two candidate materials or substances and the criteria or constraints needed to justify which one should be selected.,,,high,This is largely a text-and-data decision task that an AI agent can perform using retrieval and comparison tools; the main limitation is domain-specific judgment rather than physical execution.,material selection rationale,rubric_on_artifact,1,45,65,The bucket is coherent and represents a single operation; no member appears to require a different top-level operation.,
